code,date,uplimit_times,fake_time,uplimit_time,break_time,min_bigorder,yield_rate
000695,2020-02-06,2,2020-02-06 11:27:40.770,2020-02-06 11:27:16.310,2020-02-06 13:51:46.970,1,-0.006849315068493178
300222,2020-02-06,3,2020-02-06 14:18:59.290,2020-02-06 13:00:02.970,2020-02-06 14:29:05.180,1,0.02342786683107301
300307,2020-02-06,2,2020-02-06 11:17:25.570,2020-02-06 11:16:31.350,2020-02-06 11:18:08.390,1,-0.011086474501108556
300658,2020-02-06,1,2020-02-06 14:59:51.460,2020-02-06 11:18:49.760,2020-02-06 15:00:00.000,1,0.0522774327122153
000636,2020-02-07,1,2020-02-07 14:50:46.100,2020-02-07 14:50:12.080,2020-02-07 15:00:00.000,1,0.030921459492888163
300324,2020-02-07,1,2020-02-07 14:55:14.820,2020-02-07 14:47:50.460,2020-02-07 14:57:16.560,1,-0.0701357466063347
300343,2020-02-07,1,2020-02-07 09:36:44.640,2020-02-07 09:34:35.400,2020-02-07 09:53:48.630,1,-0.035502958579881734
300343,2020-02-07,7,2020-02-07 14:24:59.200,2020-02-07 13:08:48.780,2020-02-07 15:00:00.000,1,-0.035502958579881734
002274,2020-02-10,2,2020-02-10 13:37:22.150,2020-02-10 13:33:51.330,2020-02-10 13:41:02.640,1,-0.018808777429467072
002274,2020-02-10,6,2020-02-10 14:24:51.500,2020-02-10 13:47:22.510,2020-02-10 15:00:00.000,1,-0.018808777429467072
002328,2020-02-10,1,2020-02-10 09:46:42.530,2020-02-10 09:45:59.120,2020-02-10 10:08:23.500,1,-0.06717850287907867
002540,2020-02-10,1,2020-02-10 14:09:09.970,2020-02-10 14:07:03.780,2020-02-10 14:11:55.470,1,0.06783369803063444
002540,2020-02-10,3,2020-02-10 14:59:55.320,2020-02-10 14:14:14.630,2020-02-10 15:00:00.000,1,0.06783369803063444
002591,2020-02-10,5,2020-02-10 13:20:44.690,2020-02-10 13:06:08.920,2020-02-10 15:00:00.000,1,-0.0285110876451955
